Buchungskreis,Marken Name Kurz,Standortname,Slug,Logo Filename,Straße,Hausnummer,PLZ,Stadt,Land Name,Standorttyp Name,Homepage,Breitengrad,Längengrad,Bundesland,Werblicher Anzeige Name,Breitengrad (Komma),Längengrad (Komma),,Statement,Statementgeber,Funktion des Statementgebers,Um wie viel Uhr wird das Licht ausgestellt?,Umsetzung der Maßnahmen bis 15.11.2022?,Änderung der Beleuchtung durch Teilnahme am Projekt?,Details zur Lichtabschaltung
395,G.U.T.,Begau KG,begau-kg,,Böcklerstraße,30,38102,Braunschweig,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/begau/locations/abex-braunschweig-boecklerstrasse,52.250.470.320.782.700,10.532.055.742.327.800,NDS,ABEX Braunschweig / Böcklerstraße,"52,25047032","10,53205574",,,,,20 Uhr,Ja,nein,
395,G.U.T.,Begau KG,begau-kg,,Lindener Straße,7,38300,Wolfenbüttel,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/begau/standorte/abex-wolfenbuettel-lindener-strasse,52.161.774.005.065.800,10.546.231.266.795.300,NDS,ABEX Wolfenbüttel / Lindener Straße,"52,16177401","10,54623127",,,,,20 Uhr,Ja,nein,
395,G.U.T.,Begau KG,begau-kg,,Ruscheplatenstraße,4,31137,Hildesheim,Germany,NIEDERLASSUNG,https://www.gut-gruppe.de/de/unternehmen/begau/locations/niederlassung-hildesheim,52.172.110.000.000.000,9.926.310.000.000.000,NDS,NIEDERLASSUNG Hildesheim,"52,17211","9,92631",,,,,20 Uhr,Ja,nein,
395,G.U.T.,Begau KG,begau-kg,,Ruscheplatenstraße,4,31137,Hildesheim,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/begau/locations/abex-hildesheim-ruscheplatenstrasse,52.172.110.000.000.000,9.926.310.000.000.000,NDS,ABEX Hildesheim / Ruscheplatenstraße,"52,17211","9,92631",,,,,20 Uhr,Ja,nein,
365,G.U.T.,Fendel KG,fendel-kg,fendel-kg-logo.jpg,Am Eichengarten,14,6842,Dessau-Roslau,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/fendel-kg,51.816.543.600.000.000,12.298.859.700.000.000,Sachsen-Anhalt,HAUPTHAUS Dessau-Roslau,"51,8165436","12,2988597",,Lasst uns die Nacht dunkel sein lassen und nicht durch künstliches Licht „verschmutzen“.  ,Raik Overbeck,Geschäftsführer,20 Uhr,Ja,nein,
365,G.U.T.,Fendel KG,fendel-kg,,Am Eichengarten,14,6842,Dessau-Roslau,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/fendel-kg/standorte/abex-dessau-roslau-am-eichengarten,51.816.735.705.882.300,12.298.764.576.721.100,Sachsen-Anhalt,ABEX Dessau-Roslau / Am Eichengarten,"51,81673571","12,29876458",,"Präsentation zum Thema ""22 Uhr - Licht aus"" hat überzeugt",Raik Overbeck,Geschäftsführer,20 Uhr,Ja,nein,
365,G.U.T.,Fendel KG,fendel-kg,,Gerlachstraße,10,14480,Potsdam,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/fendel-kg/standorte/abex-potsdam-gerlachstrasse,52.368.260.000.000.000,13.130.040.000.000.000,BB,ABEX Potsdam / Gerlachstraße,"52,36826","13,13004",,"Präsentation zum Thema ""22 Uhr - Licht aus"" hat überzeugt",Raik Overbeck,Geschäftsführer,20 Uhr,Ja,nein,
365,G.U.T.,Fendel KG,fendel-kg,,Geschwister-Scholl-Straße,36,14776,Brandenburg,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/fendel-kg/standorte/abex-brandenburg-geschwister-scholl-strasse,52.404.768.400.000.000,12.568.183.500.000.000,BB,ABEX Brandenburg / Geschwister-Scholl-Straße,"52,4047684","12,5681835",,"Präsentation zum Thema ""22 Uhr - Licht aus"" hat überzeugt",Raik Overbeck,Geschäftsführer,20 Uhr,Ja,nein,
128,G.U.T.,G.U.T. Gebäude- und Umwelttechnik KG Heinlein,gut-gebaeude-und-umwelttechnik-kg-heinlein,gut-gebaeude-und-umwelttechnik-kg-heinlein-logo.jpg,Lichtenfelser Straße,63-65,95326,Kulmbach,Germany,HAUPTHAUS,https://www.gut-gruppe.de/unternehmen/heinlein/standorte/haupthaus-kulmbach,50.104.152.951.322.200,11.429.146.260.852.000,BY,HAUPTHAUS Kulmbach,"50,10415295","11,42914626",,,,,19 Uhr,Ja,nein,
128,G.U.T.,G.U.T. Gebäude- und Umwelttechnik KG Heinlein,gut-gebaeude-und-umwelttechnik-kg-heinlein,,Lichtenfelser Straße,63-65,95326,Kulmbach,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/heinlein/standorte/abex-kulmbach-lichtenfelser-strasse,50.103.356.421.338.100,11.428.293.318.385.300,BY,ABEX Kulmbach / Lichtenfelser Straße,"50,10335642","11,42829332",,,,,19 Uhr,Ja,nein,
750,G.U.T.,Bauner KG,bauner-kg,bauner-kg-logo.jpg,Auenstraße,3a,98529,Suhl,Germany,HAUPTHAUS,https://www.gut-gruppe.de/unternehmen/bauner/standorte/haupthaus-suhl,50.608.820.000.000.000,10.681.020.000.000.000,TH,HAUPTHAUS Suhl,"50,60882","10,68102",,Contemporary today!,Sylvio Setzer,PhG,19 Uhr,Ja,nein,
750,G.U.T.,Bauner KG,bauner-kg,,Auenstraße,3a,98529,Suhl,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/bauner/locations/abex-suhl-auenstrasse,50.608.820.000.000.000,10.681.020.000.000.000,TH,ABEX Suhl / Auenstraße,"50,60882","10,68102",,Contemporary today!,Sylvio Setzer,PhG,19 Uhr,Ja,nein,
750,G.U.T.,Bauner KG,bauner-kg,,Näherstiller Straße,49,98574,Schmalkalden,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/bauner/locations/abex-schmalkalden-naeherstiller-strasse,50.717.179.800.000.000,10.466.922.900.000.000,TH,ABEX Schmalkalden / Näherstiller Straße,"50,7171798","10,4669229",,Contemporary today!,Sylvio Setzer,PhG,19 Uhr,Ja,nein,
750,G.U.T.,Bauner KG,bauner-kg,,Herrenmühlenstraße,30,99817,Eisenach,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/bauner/locations/abex-eisenach-herrenmuehlenstrasse,50.981.015.000.000.000,10.304.288.900.000.000,TH,ABEX Eisenach / Herrenmühlenstraße,"50,981015","10,3042889",,Contemporary today!,Sylvio Setzer,PhG,19 Uhr,Ja,nein,
750,G.U.T.,Bauner KG,bauner-kg,,Kaltenbronner Weg,8,98646,Hildburghausen,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/bauner/locations/abex-hildburghausen-kaltenbronner-weg,50.424.630.000.000.000,10.751.540.000.000.000,TH,ABEX Hildburghausen / Kaltenbronner Weg,"50,42463","10,75154",,Contemporary today!,Sylvio Setzer,PhG,19 Uhr,Ja,nein,
925,G.U.T.,G.U.T. Feldtmann KG,gut-feldtmann-kg,gut-feldtmann-kg-logo.jpg,Grapengießerstraße,17-19,23556,Lübeck,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/feldtmann/locations/haupthaus-luebeck,53.860.990.000.000.000,10.634.480.000.000.000,SH,HAUPTHAUS Lübeck,"53,86099","10,63448",,Im engen Schulterschluss mit den anderen Partnerhäusern der G.U.T.-GRUPPE beteiligen auch wir uns an dem Projekt und wollen unseren Beitrag leisten.  ,Domenico Milione,Betriebsleitung,21 Uhr,Ja,nein,
925,G.U.T.,G.U.T. Feldtmann KG,gut-feldtmann-kg,,Grapengießerstraße,17-19,23556,Lübeck,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/feldtmann/standorte/abex-luebeck-grapengiesserstrasse,53.860.990.000.000.000,10.634.480.000.000.000,SH,ABEX Lübeck / Grapengießerstraße,"53,86099","10,63448",,Im engen Schulterschluss mit den anderen Partnerhäusern der G.U.T.-GRUPPE beteiligen auch wir uns an dem Projekt und wollen unseren Beitrag leisten.  ,Domenico Milione,Betriebsleitung,21 Uhr,Ja,nein,
